Batch_ID,Leather_Used_kg,Cork_Used_kg,Thread_Used_m,Glue_Used_L
B000090,4.13,0.94,56.07,0.34
B000091,4.22,0.94,50.86,0.41
B000092,3.04,0.62,191.38,0.2
B000093,3.41,1.6,58.19,0.43
B000094,1.91,1.43,146.13,0.24
B000095,2.42,1.62,164.19,0.48
B000096,3.59,1.13,167.05,0.42
B000097,3.48,1.56,65.67,0.35
B000098,4.27,1.78,147.56,0.3
B000099,3.22,1.36,96.23,0.47
B000100,3.93,1.52,74.21,0.23
B000101,2.82,0.96,162.5,0.46
B000102,1.11,0.82,87.02,0.48
B000103,4.84,0.57,102.72,0.36
B000104,2.54,0.84,191.44,0.45
B000105,2.99,1.98,92.19,0.45
B000106,3.38,0.7,101.75,0.12
B000107,4.71,0.78,108.9,0.14
B000108,3.99,1.75,52.23,0.5
B000109,1.31,1.14,173.95,0.27
B000110,1.71,0.71,86.79,0.16
B000111,1.45,1.55,78.94,0.26
B000112,4.75,1.9,177.61,0.18
B000113,1.25,1.46,157.02,0.31
B000114,2.84,0.53,83.91,0.47
B000115,1.97,1.7,178.24,0.46
B000116,4.2,1.68,132.99,0.32
B000117,4.49,0.95,148.96,0.22
B000118,1.67,1.88,194.23,0.34
B000119,1.43,1.07,120.4,0.31
B000120,1.03,1.61,105.38,0.44
B000121,1.87,1.53,158.58,0.41
B000122,1.21,1.47,178.58,0.23
B000123,4.75,1.73,159.72,0.33
B000124,4.53,0.82,61.73,0.3
B000125,3.85,0.61,183.5,0.42
B000126,2.88,1.81,86.83,0.35
B000127,1.57,1.34,192.0,0.18
B000128,1.98,1.03,173.5,0.32
B000129,1.04,1.79,107.38,0.17
B000130,3.03,1.66,192.19,0.39
B000131,3.55,1.52,82.71,0.43
B000132,3.46,1.49,96.14,0.17
B000133,1.56,1.26,82.81,0.14
B000134,4.85,1.16,76.13,0.26
B000135,3.19,1.24,58.54,0.44
B000136,1.47,0.84,173.39,0.37
B000137,3.63,1.75,57.89,0.13
B000138,3.37,0.61,141.52,0.25
B000139,2.1,1.95,116.0,0.12
B000140,4.43,1.73,185.2,0.42
B000141,4.36,0.78,180.71,0.12
B000142,4.87,1.74,152.25,0.12
B000143,3.16,1.69,190.87,0.34
B000144,3.77,1.09,156.41,0.22
B000145,3.91,1.83,108.42,0.13
B000146,4.29,0.77,150.41,0.15
B000147,4.75,1.25,102.48,0.16
B000148,1.42,0.66,110.59,0.21
B000149,2.71,0.9,131.15,0.43
B000150,3.72,1.49,98.1,0.39
B000151,4.12,1.41,124.74,0.13
B000152,1.81,0.71,149.02,0.46
B000153,4.97,1.86,183.07,0.47
B000154,4.11,0.84,172.51,0.38
B000155,4.49,1.77,105.25,0.12
B000156,3.94,1.14,154.83,0.23
B000157,1.77,1.94,71.4,0.26
B000158,1.92,0.54,166.59,0.39
B000159,2.73,1.37,67.3,0.36
B000160,2.42,1.64,139.82,0.1
B000161,1.05,1.83,123.54,0.13
B000162,1.43,0.66,103.67,0.28
B000163,2.23,1.19,166.81,0.29
B000164,3.51,0.86,71.01,0.45
B000165,2.94,1.96,107.05,0.49
B000166,4.67,1.67,100.37,0.37
B000167,3.67,1.28,159.76,0.26
B000168,1.82,1.87,150.11,0.24
B000169,4.16,0.96,152.23,0.46
B000170,3.34,0.83,91.77,0.12
B000171,1.36,0.75,113.34,0.37
B000172,3.5,1.44,175.42,0.15
B000173,3.15,1.13,117.3,0.23
B000174,1.9,0.61,151.28,0.26
B000175,2.33,1.23,183.56,0.14
B000176,4.07,0.94,124.08,0.38
B000177,3.84,1.38,196.55,0.42
B000178,4.08,1.22,158.0,0.18
B000179,4.33,1.34,116.76,0.39
B000180,2.31,1.13,106.89,0.43
B000181,1.04,1.49,125.39,0.22
B000182,2.08,1.6,185.94,0.32
B000183,3.82,2.0,72.69,0.26
B000184,2.64,1.18,61.58,0.19
B000185,2.88,1.82,128.77,0.25
B000186,2.73,0.7,60.41,0.31
B000187,1.78,1.26,122.58,0.26
B000188,1.72,0.83,129.96,0.12
B000189,3.59,0.72,144.3,0.25
B000190,4.39,1.35,51.12,0.38
B000191,1.61,1.75,168.09,0.13
B000192,4.48,0.99,81.33,0.18
B000193,2.8,1.04,136.85,0.12
B000194,1.25,1.01,57.76,0.45
B000195,3.69,1.42,164.36,0.37
B000196,4.11,1.26,150.42,0.42
B000197,3.4,0.8,135.54,0.18
B000198,3.0,1.27,195.17,0.33
B000199,4.58,1.97,101.98,0.44
B000200,1.09,0.5,176.14,0.24
B000201,2.66,0.96,142.27,0.24
B000202,1.84,1.6,140.67,0.49
B000203,2.24,1.01,183.72,0.5
B000204,1.83,1.16,134.03,0.17
B000205,3.93,1.02,198.12,0.11
B000206,2.14,1.37,186.04,0.24
B000207,4.26,1.32,88.53,0.27
B000208,2.45,1.56,167.2,0.25
B000209,2.83,1.52,170.07,0.33
B000210,4.82,1.72,58.91,0.31
B000211,3.72,0.64,110.49,0.12
B000212,3.03,1.46,126.09,0.2
B000213,3.0,0.69,98.16,0.32
B000214,1.39,0.85,188.04,0.29
B000215,3.06,0.92,111.59,0.11
B000216,1.35,1.76,187.85,0.45
B000217,1.42,1.69,176.6,0.15
B000218,2.83,1.34,96.06,0.16
B000219,2.9,1.95,155.37,0.16
B000220,1.69,1.04,85.72,0.11
B000221,1.93,1.55,189.8,0.41
B000222,2.17,1.14,155.46,0.43
B000223,1.92,1.46,196.19,0.11
B000224,4.63,1.14,84.82,0.34
B000225,1.85,1.76,73.58,0.14
B000226,4.3,1.26,184.94,0.13
B000227,3.55,0.75,80.71,0.43
B000228,4.03,1.92,140.57,0.43
B000229,2.69,1.82,134.52,0.19
B000230,2.78,1.86,62.08,0.45
B000231,3.83,0.56,116.25,0.11
B000232,4.32,0.58,159.41,0.35
B000233,1.88,1.58,117.48,0.33
B000234,4.74,1.32,146.12,0.45
B000235,4.22,0.87,53.14,0.26
B000236,2.14,0.9,111.34,0.31
B000237,4.19,1.17,62.81,0.22
B000238,2.64,0.54,88.46,0.45
B000239,3.04,0.51,122.19,0.49
B000240,2.34,1.57,68.36,0.16
B000241,2.32,1.93,92.53,0.37
B000242,3.54,1.73,123.66,0.21
B000243,1.48,1.73,81.35,0.48
B000244,3.79,1.42,194.79,0.19
B000245,1.55,0.58,66.65,0.38
B000246,3.41,1.24,191.3,0.33
B000247,3.82,0.77,175.58,0.46
B000248,1.89,0.96,171.98,0.47
B000249,4.34,1.56,133.48,0.19
B000250,3.84,1.28,176.21,0.3
B000251,2.13,1.51,94.09,0.27
B000252,2.69,1.11,176.27,0.42
B000253,2.68,1.72,139.5,0.48
B000254,2.15,1.88,117.26,0.11
B000255,1.5,1.39,148.48,0.17
B000256,3.53,1.09,138.04,0.46
B000257,4.42,1.65,96.79,0.15
B000258,1.67,1.28,126.83,0.39
B000259,4.37,1.31,183.02,0.26
B000260,1.66,1.91,174.52,0.39
B000261,3.09,0.72,158.8,0.12
B000262,3.01,1.57,121.64,0.14
B000263,1.45,1.58,145.04,0.43
B000264,3.78,1.28,195.5,0.34
B000265,1.73,1.63,183.63,0.24
B000266,1.39,0.78,176.23,0.18
B000267,2.54,1.05,188.75,0.42
B000268,1.03,0.52,182.99,0.49
B000269,1.84,1.29,160.93,0.2
B000270,1.75,1.37,160.83,0.36
B000271,3.56,0.57,139.78,0.36
B000272,2.71,1.39,192.97,0.23
B000273,4.05,1.4,156.89,0.37
B000274,2.36,1.62,179.45,0.23
B000275,3.86,0.6,120.71,0.43
B000276,3.77,1.41,52.91,0.41
B000277,2.42,0.97,72.04,0.36
B000278,3.43,1.98,144.62,0.19
B000279,3.74,0.55,91.26,0.16
B000280,1.15,1.87,61.92,0.3
B000281,2.68,0.69,164.37,0.34
B000282,2.89,0.89,121.06,0.26
B000283,1.84,0.73,142.51,0.42
B000284,4.51,0.84,127.77,0.24
B000285,4.94,1.11,194.43,0.13
B000286,3.5,1.47,61.18,0.27
B000287,3.01,1.81,180.93,0.14
B000288,2.03,0.78,97.14,0.14
B000289,4.78,0.89,51.07,0.18
B000290,4.74,1.74,151.19,0.28
B000291,3.82,1.61,57.92,0.45
B000292,3.27,0.87,196.85,0.43
B000293,1.86,0.66,139.89,0.21
B000294,4.73,0.62,129.45,0.46
B000295,4.96,0.82,190.88,0.48
B000296,3.31,1.43,197.83,0.35
B000297,4.05,0.91,131.76,0.33
B000298,4.32,1.43,51.68,0.19
B000299,1.91,0.81,183.1,0.16
B000300,1.94,1.05,54.24,0.23
B000301,4.32,1.09,107.84,0.46
B000302,2.59,1.92,101.3,0.24
B000303,2.71,1.75,57.89,0.44
B000304,4.99,1.78,93.01,0.15
B000305,4.64,0.91,159.05,0.25
B000306,2.61,0.98,170.24,0.11
B000307,4.52,0.91,179.21,0.25
B000308,5.0,1.58,99.33,0.2
B000309,1.7,0.61,72.84,0.35
B000310,4.64,1.94,172.39,0.22
B000311,2.14,1.95,133.65,0.28
B000312,1.38,1.36,89.12,0.47
B000313,1.03,1.74,181.59,0.4
B000314,4.73,1.99,77.68,0.24
B000315,2.21,1.32,193.29,0.47
B000316,1.53,0.67,156.27,0.19
B000317,4.38,1.7,180.57,0.34
B000318,3.96,1.82,120.53,0.15
B000319,1.7,1.17,147.95,0.24
B000320,2.91,1.72,67.44,0.34
B000321,2.86,1.7,58.71,0.41
B000322,2.12,1.17,74.25,0.38
B000323,4.0,0.88,78.42,0.43
B000324,4.94,1.98,113.0,0.43
B000325,3.4,0.6,98.67,0.2
B000326,3.86,1.11,103.51,0.12
B000327,2.93,0.75,185.2,0.38
B000328,3.71,0.59,186.43,0.26
B000329,4.11,1.81,189.24,0.32
B000330,2.52,1.83,50.29,0.21
B000331,2.56,0.52,161.18,0.22
B000332,1.62,1.86,84.89,0.13
B000333,3.96,0.65,106.75,0.29
B000334,1.13,1.56,155.06,0.21
B000335,1.15,0.9,99.27,0.18
B000336,1.47,1.17,114.33,0.22
B000337,4.55,1.55,167.4,0.43
B000338,1.31,1.89,118.45,0.31
B000339,3.6,1.92,111.81,0.19
B000340,4.59,0.77,71.89,0.46
B000341,3.13,0.53,163.51,0.43
B000342,2.12,1.78,81.56,0.12
B000343,2.71,0.93,152.67,0.24
B000344,1.02,1.25,88.7,0.24
B000345,3.35,1.05,125.71,0.34
B000346,2.77,0.79,129.13,0.37
B000347,4.6,1.23,184.93,0.33
B000348,4.72,1.88,154.76,0.3
B000349,4.35,0.74,53.02,0.49
B000350,1.56,1.86,69.21,0.28
B000351,4.82,1.35,52.77,0.43
B000352,3.75,1.04,197.7,0.43
B000353,1.79,1.21,87.45,0.25
B000354,4.7,0.57,176.59,0.41
B000355,2.39,1.21,184.39,0.49
B000356,3.74,0.56,85.91,0.39
B000357,4.08,0.56,82.19,0.16
B000358,4.59,0.63,158.72,0.34
B000359,4.04,0.55,177.29,0.2
B000360,4.59,0.63,145.92,0.17
B000361,2.82,1.57,167.02,0.49
B000362,4.29,1.24,53.62,0.11
B000363,2.45,1.22,159.28,0.31
B000364,3.13,0.68,70.61,0.29
B000365,2.6,0.66,152.24,0.27
B000366,1.93,1.28,121.05,0.19
B000367,4.8,1.52,160.95,0.32
B000368,2.75,0.67,94.78,0.33
B000369,2.85,0.65,55.57,0.31
B000370,2.75,0.85,158.29,0.13
B000371,2.64,1.8,152.31,0.39
B000372,1.67,1.47,127.72,0.37
B000373,1.39,1.83,195.58,0.18
B000374,4.47,1.25,145.31,0.2
B000375,4.86,0.79,166.42,0.19
B000376,4.34,1.22,192.37,0.15
B000377,3.71,1.56,97.79,0.47
B000378,4.92,0.72,76.0,0.34
B000379,1.23,1.71,114.08,0.38
B000380,3.6,1.35,192.87,0.19
B000381,4.88,1.64,53.0,0.33
B000382,1.85,1.16,131.17,0.47
B000383,3.97,0.9,167.9,0.49
B000384,3.82,1.35,93.84,0.49
B000385,2.22,1.85,150.9,0.23
B000386,4.76,1.38,81.18,0.39
B000387,2.5,0.95,63.74,0.32
B000388,1.55,1.73,108.85,0.11
B000389,4.15,1.38,111.49,0.45
B000390,1.34,1.38,127.63,0.27
B000391,2.98,0.79,95.4,0.47
B000392,1.02,1.67,87.25,0.42
B000393,4.6,1.35,85.73,0.23
B000394,4.95,1.99,69.91,0.49
B000395,4.06,0.64,76.89,0.24
B000396,4.11,1.39,193.56,0.23
B000397,4.93,1.94,74.09,0.3
B000398,4.32,0.71,51.49,0.21
B000399,1.79,1.15,119.88,0.2
B000400,3.76,0.79,70.05,0.46
B000401,1.46,0.65,62.67,0.35
B000402,4.9,1.58,71.83,0.12
B000403,4.76,1.95,104.91,0.2
B000404,2.27,0.61,135.48,0.41
B000405,3.7,1.17,98.7,0.45
B000406,4.32,1.85,86.81,0.4
B000407,1.51,1.57,170.5,0.17
B000408,3.11,0.9,136.89,0.29
B000409,3.08,1.32,166.57,0.25
B000410,3.01,0.86,130.12,0.36
B000411,1.56,0.61,51.11,0.42
B000412,2.56,1.1,57.31,0.36
B000413,2.65,1.29,149.93,0.36
B000414,4.06,0.7,57.73,0.15
B000415,2.94,1.7,100.14,0.24
B000416,4.44,1.47,106.97,0.22
B000417,1.13,1.67,138.33,0.19
B000418,3.22,0.77,60.88,0.25
B000419,3.56,1.73,138.49,0.18
B000420,3.91,1.97,62.75,0.13
B000421,1.88,1.16,136.16,0.24
B000422,3.34,1.61,69.25,0.27
B000423,1.67,0.86,143.06,0.29
B000424,1.33,1.02,61.16,0.15
B000425,4.75,0.62,112.99,0.29
B000426,4.78,1.88,103.87,0.36
B000427,3.6,1.58,162.86,0.3
B000428,4.93,0.58,114.18,0.28
B000429,1.51,0.68,67.72,0.2
B000430,4.2,0.54,143.75,0.5
B000431,1.24,1.59,169.7,0.48
B000432,4.2,1.38,68.06,0.39
B000433,3.29,1.5,98.42,0.33
B000434,2.28,0.53,147.14,0.39
B000435,3.04,1.45,118.1,0.14
B000436,4.79,0.9,88.76,0.35
B000437,4.09,1.46,144.47,0.3
B000438,2.74,1.28,156.9,0.26
B000439,2.2,1.22,73.39,0.24
B000440,1.38,0.72,122.96,0.29
B000441,2.16,1.37,164.94,0.4
B000442,1.39,1.62,141.7,0.25
B000443,1.66,1.88,78.88,0.18
B000444,4.58,1.12,169.42,0.35
B000445,2.65,1.8,184.23,0.39
B000446,2.27,0.73,185.91,0.42
B000447,4.66,0.64,194.37,0.45
B000448,1.81,1.73,147.96,0.35
B000449,1.44,0.59,155.68,0.21
B000450,2.21,1.68,91.59,0.11
B000451,4.01,0.63,90.32,0.26
B000452,1.07,1.63,133.48,0.47
B000453,2.21,1.57,184.45,0.34
B000454,1.5,0.89,111.66,0.29
B000455,4.48,1.62,57.91,0.5
B000456,4.02,1.73,132.52,0.13
B000457,4.54,1.06,63.19,0.46
B000458,1.95,1.61,96.4,0.38
B000459,2.04,1.14,71.72,0.14
B000460,2.59,1.45,80.66,0.23
B000461,3.75,1.03,92.58,0.13
B000462,1.05,1.95,102.55,0.26
B000463,1.61,0.54,71.87,0.25
B000464,1.73,0.67,163.65,0.12
B000465,3.9,1.17,93.27,0.36
B000466,1.98,0.88,76.25,0.19
B000467,2.47,0.62,113.85,0.13
B000468,1.05,1.26,159.91,0.39
B000469,3.32,1.5,62.06,0.48
B000470,4.85,1.22,147.49,0.12
B000471,4.97,1.89,184.19,0.16
B000472,2.41,0.69,189.81,0.29
B000473,3.3,1.26,146.33,0.24
B000474,3.82,1.52,198.1,0.33
B000475,4.01,1.13,148.24,0.21
B000476,2.35,0.85,89.07,0.17
B000477,4.2,1.68,130.98,0.22
B000478,2.33,1.7,55.57,0.31
B000479,3.02,1.04,118.65,0.22
B000480,4.51,0.85,73.72,0.36
B000481,1.55,1.78,151.28,0.4
B000482,1.22,0.58,138.82,0.46
B000483,4.45,0.77,63.26,0.26
B000484,3.31,1.72,58.53,0.43
B000485,2.51,0.63,74.58,0.24
B000486,3.17,1.19,193.71,0.22
B000487,1.08,0.95,59.55,0.35
B000488,2.56,0.55,56.49,0.12
B000489,2.11,0.68,120.63,0.43
B000490,1.82,1.59,84.43,0.43
B000491,2.93,1.03,112.65,0.35
B000492,2.22,0.66,124.53,0.34
B000493,4.85,1.04,147.79,0.4
B000494,3.21,0.97,148.5,0.2
B000495,4.95,0.81,109.73,0.2
B000496,3.85,0.67,73.1,0.49
B000497,3.62,1.85,60.88,0.31
B000498,4.19,1.95,149.5,0.24
B000499,1.4,1.52,61.62,0.43
B000500,1.37,0.86,118.59,0.3
B000501,2.08,1.32,116.41,0.1
B000502,1.48,0.64,97.2,0.41
B000503,3.09,0.65,196.71,0.4
B000504,1.11,1.74,169.44,0.14
B000505,2.83,1.91,143.63,0.1
B000506,2.68,1.8,85.57,0.42
B000507,2.93,1.96,77.9,0.22
B000508,3.78,1.49,99.9,0.13
B000509,4.05,1.76,138.42,0.26
B000510,1.0,1.16,103.17,0.11
B000511,3.7,1.83,66.17,0.11
B000512,2.72,1.8,184.28,0.33
B000513,1.62,1.42,136.6,0.32
B000514,3.84,1.1,173.47,0.25
B000515,1.83,0.97,114.63,0.31
B000516,3.38,0.75,90.05,0.44
B000517,1.51,0.87,71.3,0.14
B000518,4.51,1.87,129.96,0.19
B000519,4.51,1.06,177.14,0.12
B000520,4.26,1.2,115.68,0.43
B000521,2.96,1.33,144.52,0.33
B000522,4.93,0.89,102.88,0.43
B000523,3.16,0.86,55.19,0.41
B000524,3.74,1.5,157.98,0.31
B000525,1.47,1.34,71.04,0.35
B000526,3.43,1.37,86.84,0.26
B000527,1.13,1.62,151.21,0.18
B000528,3.93,1.65,125.08,0.33
B000529,4.93,1.59,149.68,0.13
B000530,4.41,1.5,103.08,0.16
B000531,4.21,1.81,57.04,0.35
B000532,3.45,0.65,143.61,0.27
B000533,2.45,0.88,137.07,0.33
B000534,2.94,1.78,109.1,0.38
B000535,4.15,1.14,90.76,0.11
B000536,2.66,1.74,191.81,0.45
B000537,4.07,1.86,186.08,0.2
B000538,1.09,1.61,158.98,0.3
B000539,2.65,0.89,151.96,0.35
B000540,2.23,1.93,155.01,0.25
B000541,1.29,0.79,194.64,0.43
B000542,2.89,1.63,176.13,0.25
B000543,4.87,1.29,198.44,0.16
B000544,1.26,1.58,150.17,0.15
B000545,4.57,0.63,89.51,0.31
B000546,3.11,1.98,110.18,0.27
B000547,4.13,1.06,94.26,0.32
B000548,1.38,1.07,171.25,0.12
B000549,3.28,1.19,73.83,0.4
B000550,4.42,1.12,125.6,0.3
B000551,3.48,1.84,149.33,0.26
B000552,4.51,1.05,138.57,0.49
B000553,4.49,1.99,181.24,0.17
B000554,4.18,1.88,67.89,0.45
B000555,2.8,1.62,70.62,0.13
B000556,1.25,1.49,163.96,0.33
B000557,2.94,1.2,112.8,0.32
B000558,2.85,0.79,56.89,0.42
B000559,1.22,1.66,101.76,0.45
B000560,2.84,0.58,92.14,0.17
B000561,1.05,0.6,140.07,0.38
B000562,4.05,1.08,140.31,0.27
B000563,3.65,0.64,190.81,0.11
B000564,4.55,0.72,188.84,0.22
B000565,2.38,1.61,104.59,0.27
B000566,3.63,1.06,67.01,0.23
B000567,2.55,1.26,79.37,0.46
B000568,2.81,0.54,170.92,0.44
B000569,1.19,0.51,144.58,0.15
B000570,3.99,1.0,163.96,0.42
B000571,4.32,1.3,169.45,0.44
B000572,3.77,0.89,153.88,0.15
B000573,1.4,1.49,111.23,0.25
B000574,4.46,1.63,146.71,0.22
B000575,4.92,1.27,141.15,0.14
B000576,4.94,1.66,169.49,0.28
B000577,1.44,1.5,88.52,0.39
B000578,2.9,1.16,139.79,0.42
B000579,4.12,1.71,61.19,0.46
B000580,4.55,1.64,146.43,0.28
B000581,1.47,0.5,141.39,0.29
B000582,3.38,1.42,143.45,0.48
B000583,1.55,0.78,58.74,0.35
B000584,3.27,1.21,165.14,0.35
B000585,1.28,1.03,192.5,0.19
B000586,3.83,1.7,135.07,0.5
B000587,3.43,1.99,182.33,0.44
B000588,2.12,0.8,54.22,0.39
B000589,1.95,1.86,137.5,0.32
B000590,4.6,1.83,108.58,0.46
B000591,4.51,0.87,120.96,0.25
B000592,3.67,0.68,70.11,0.21
B000593,3.34,0.75,192.21,0.28
B000594,3.98,0.65,125.54,0.14
B000595,2.6,1.66,136.58,0.23
B000596,2.54,1.66,151.61,0.46
B000597,3.8,1.66,76.67,0.49
B000598,3.54,0.83,50.31,0.2
B000599,2.88,0.74,160.39,0.43
B000600,1.93,1.56,145.08,0.13
B000601,4.12,0.63,68.92,0.24
B000602,2.4,1.53,78.2,0.31
B000603,1.41,1.44,160.99,0.31
B000604,2.25,0.56,105.33,0.43
B000605,1.41,0.59,80.7,0.22
B000606,3.61,1.23,55.96,0.46
B000607,1.03,1.82,160.64,0.25
B000608,2.83,1.36,55.87,0.22
B000609,1.08,0.93,114.42,0.3
B000610,3.17,1.89,97.21,0.37
B000611,2.53,0.92,139.62,0.29
B000612,2.46,1.06,94.87,0.41
B000613,2.87,1.39,90.95,0.47
B000614,1.46,1.7,108.91,0.46
B000615,3.26,0.98,139.56,0.32
B000616,1.48,2.0,111.99,0.47
B000617,4.01,1.35,156.23,0.38
B000618,2.26,0.87,88.31,0.39
B000619,3.11,0.77,177.51,0.33
B000620,3.26,0.69,181.69,0.27
B000621,3.12,1.86,61.97,0.48
B000622,1.95,0.98,148.54,0.31
B000623,4.18,0.7,194.83,0.3
B000624,1.96,0.57,70.86,0.27
B000625,1.35,1.42,105.9,0.33
B000626,2.13,1.5,143.62,0.17
B000627,2.3,0.85,118.76,0.4
B000628,2.06,1.7,101.6,0.32
B000629,3.32,0.52,145.99,0.35
B000630,2.07,0.77,131.11,0.15
B000631,4.74,1.74,172.35,0.25
B000632,1.01,1.59,197.94,0.39
B000633,1.75,1.38,129.01,0.44
B000634,3.55,1.94,102.95,0.4
B000635,2.68,1.82,168.96,0.1
B000636,1.39,1.55,74.41,0.33
B000637,1.3,1.39,59.47,0.2
B000638,1.75,1.24,146.67,0.32
B000639,1.5,1.01,64.58,0.48
B000640,3.83,1.38,52.09,0.36
B000641,2.26,0.58,95.9,0.21
B000642,4.37,1.35,60.66,0.37
B000643,2.51,1.24,85.21,0.46
B000644,4.84,1.97,57.21,0.12
B000645,3.06,1.91,120.55,0.47
B000646,2.23,1.58,148.48,0.1
B000647,2.05,1.5,53.6,0.31
B000648,1.9,1.0,155.64,0.14
B000649,3.04,1.49,118.73,0.27
B000650,4.72,0.7,79.85,0.49
B000651,4.33,0.93,64.99,0.25
B000652,4.83,1.37,158.65,0.48
B000653,2.73,1.12,125.4,0.21
B000654,3.45,1.13,140.27,0.43
B000655,2.12,1.0,171.23,0.36
B000656,1.14,1.16,138.85,0.36
B000657,1.27,1.79,78.89,0.32
B000658,3.37,1.9,180.67,0.22
B000659,1.28,1.2,181.05,0.18
B000660,4.56,1.18,105.1,0.46
B000661,2.53,1.85,178.07,0.43
B000662,4.54,1.8,102.93,0.35
B000663,4.73,1.37,105.68,0.39
B000664,4.28,1.3,106.05,0.15
B000665,1.55,1.75,198.42,0.23
B000666,1.81,0.66,118.03,0.12
B000667,1.02,0.55,164.29,0.47
B000668,1.09,1.78,132.67,0.26
B000669,2.67,1.54,77.89,0.38
B000670,2.36,1.75,109.15,0.25
B000671,1.66,0.66,105.07,0.19
B000672,2.0,1.36,113.94,0.39
B000673,1.5,0.77,106.73,0.12
B000674,4.64,1.71,54.96,0.41
B000675,1.08,1.52,54.47,0.46
B000676,3.31,1.43,88.71,0.25
B000677,3.91,1.73,72.92,0.29
B000678,3.73,0.66,183.74,0.25
B000679,1.87,0.85,135.39,0.47
B000680,1.97,0.8,119.16,0.11
B000681,3.49,0.51,93.81,0.18
B000682,1.66,1.31,176.86,0.28
B000683,2.31,1.62,139.32,0.2
B000684,2.91,0.54,127.94,0.18
B000685,2.01,1.56,134.48,0.47
B000686,1.69,1.77,182.34,0.41
B000687,1.5,0.77,199.44,0.32
B000688,4.4,1.55,181.86,0.33
B000689,3.38,0.75,139.66,0.44
B000690,4.89,1.24,57.68,0.1
B000691,3.31,0.52,125.96,0.4
B000692,3.69,1.51,80.97,0.11
B000693,3.95,0.85,155.57,0.45
B000694,2.55,1.54,126.75,0.44
B000695,3.51,1.13,67.12,0.36
