Batch_ID,Production_Date,Balls_Produced,Shift,Operator_ID
B000431,2022-09-08,565,Night,1014
B000432,2022-02-27,799,Night,1014
B000433,2022-05-06,578,Afternoon,1040
B000434,2022-08-31,1108,Morning,1091
B000435,2022-06-10,3371,Night,1015
B000436,2023-01-30,3754,Afternoon,1022
B000437,2022-08-23,4791,Afternoon,1097
B000438,2024-08-08,2806,Morning,1084
B000439,2024-09-24,1092,Night,1064
B000440,2024-04-19,4004,Morning,1010
B000441,2023-12-13,4258,Afternoon,1065
B000442,2022-05-20,4361,Afternoon,1093
B000443,2022-09-03,1395,Afternoon,1002
B000444,2024-11-28,3564,Morning,1053
B000445,2024-11-07,1376,Morning,1049
B000446,2022-06-21,1721,Night,1041
B000447,2023-02-21,4148,Afternoon,1002
B000448,2022-03-06,4863,Afternoon,1056
B000449,2024-01-20,3752,Night,1071
B000450,2023-04-14,4387,Morning,1008
B000451,2024-05-25,2305,Afternoon,1054
B000452,2024-02-05,3803,Afternoon,1012
B000453,2024-05-01,4457,Morning,1050
B000454,2023-08-08,1888,Afternoon,1035
B000455,2024-07-08,2399,Morning,1040
B000456,2022-04-05,2775,Morning,1045
B000457,2022-12-09,2328,Night,1045
B000458,2022-01-08,1822,Morning,1061
B000459,2022-06-12,3019,Afternoon,1088
B000460,2024-06-28,3723,Night,1036
B000461,2023-08-21,2076,Afternoon,1092
B000462,2022-05-29,644,Morning,1008
B000463,2023-06-05,2978,Afternoon,1054
B000464,2024-03-31,2103,Morning,1057
B000465,2024-07-28,1187,Afternoon,1094
B000466,2024-02-25,3036,Afternoon,1029
B000467,2024-01-05,3829,Afternoon,1019
B000468,2024-01-09,1961,Morning,1033
B000469,2022-06-02,2762,Afternoon,1098
B000470,2023-05-17,3566,Night,1002
B000471,2022-12-17,2605,Night,1088
B000472,2023-07-19,3348,Morning,1096
B000473,2022-01-22,3371,Morning,1046
B000474,2024-11-24,4906,Morning,1041
B000475,2022-01-01,3252,Afternoon,1093
B000476,2024-09-24,4384,Morning,1078
B000477,2022-12-11,2081,Afternoon,1078
B000478,2023-06-01,3903,Night,1023
B000479,2023-12-26,4485,Morning,1000
B000480,2023-11-18,971,Morning,1062
B000481,2022-05-07,1235,Night,1084
B000482,2024-02-11,1661,Afternoon,1011
B000483,2024-02-23,954,Afternoon,1071
B000484,2024-12-19,1912,Night,1040
B000485,2024-11-15,4941,Afternoon,1091
B000486,2022-06-16,1234,Morning,1016
B000487,2023-12-13,4241,Night,1064
B000488,2023-06-10,2827,Morning,1089
B000489,2024-06-06,4317,Night,1057
B000490,2024-11-01,1416,Afternoon,1096
B000491,2023-12-11,2926,Afternoon,1041
B000492,2023-10-24,2421,Afternoon,1089
B000493,2023-02-27,1393,Afternoon,1016
B000494,2024-02-09,2299,Morning,1018
B000495,2024-06-23,4638,Night,1015
B000496,2023-08-05,1306,Afternoon,1077
B000497,2024-04-18,728,Afternoon,1005
B000498,2023-09-19,1141,Afternoon,1037
B000499,2023-12-05,1437,Afternoon,1022
B000500,2023-05-06,1582,Afternoon,1003
B000501,2023-02-16,2929,Afternoon,1046
B000502,2024-01-16,2437,Morning,1059
B000503,2022-07-23,3654,Morning,1097
B000504,2023-02-18,2287,Afternoon,1011
B000505,2024-02-08,3866,Morning,1019
B000506,2024-01-21,3049,Morning,1088
B000507,2023-06-28,2382,Afternoon,1004
B000508,2024-10-01,680,Night,1081
B000509,2024-05-24,3427,Afternoon,1009
B000510,2023-11-07,3897,Morning,1014
B000511,2022-04-26,3691,Morning,1009
B000512,2024-05-15,1110,Night,1043
B000513,2024-08-01,4158,Morning,1038
B000514,2024-11-07,4585,Night,1012
B000515,2023-10-30,2393,Night,1082
B000516,2022-02-10,4108,Morning,1055
B000517,2023-05-11,2800,Afternoon,1054
B000518,2022-07-14,4020,Morning,1099
B000519,2022-05-26,3562,Morning,1014
B000520,2022-12-19,4826,Morning,1080
B000521,2023-01-06,1964,Morning,1000
B000522,2022-03-11,3363,Afternoon,1037
B000523,2022-03-26,2715,Night,1079
B000524,2024-11-20,2865,Night,1091
B000525,2023-08-15,1127,Afternoon,1046
B000526,2022-01-30,1899,Night,1091
B000527,2024-02-21,1364,Night,1064
B000528,2022-12-10,3092,Night,1067
B000529,2024-09-10,3121,Morning,1085
B000530,2022-07-27,2777,Afternoon,1073
B000531,2023-08-17,2471,Night,1045
B000532,2023-08-10,4619,Afternoon,1010
B000533,2024-07-12,1976,Night,1072
B000534,2022-12-07,1387,Night,1021
B000535,2022-08-20,3498,Morning,1001
B000536,2022-06-14,633,Morning,1019
B000537,2022-05-14,881,Morning,1030
B000538,2024-09-22,2299,Night,1088
B000539,2024-03-18,1018,Morning,1092
B000540,2022-08-09,1436,Night,1078
B000541,2024-07-31,1037,Morning,1044
B000542,2022-08-10,3611,Night,1014
B000543,2023-08-30,631,Morning,1023
B000544,2023-06-02,4639,Afternoon,1010
B000545,2023-10-01,3969,Night,1071
B000546,2024-08-06,3509,Afternoon,1078
B000547,2023-05-11,4944,Afternoon,1029
B000548,2022-08-20,4594,Night,1067
B000549,2024-05-14,3362,Afternoon,1022
B000550,2022-05-19,3139,Afternoon,1002
B000551,2023-01-01,3379,Morning,1001
B000552,2024-09-02,4690,Afternoon,1027
B000553,2023-02-22,580,Morning,1048
B000554,2022-12-17,1037,Night,1013
B000555,2023-09-29,2773,Morning,1001
B000556,2024-08-11,3927,Morning,1059
B000557,2022-09-29,3267,Morning,1047
B000558,2023-11-21,1614,Afternoon,1095
B000559,2024-01-31,4948,Morning,1045
B000560,2024-09-13,3692,Afternoon,1020
B000561,2022-05-20,2008,Night,1049
B000562,2022-08-26,3727,Afternoon,1091
B000563,2023-04-30,3688,Morning,1069
B000564,2023-04-17,1428,Afternoon,1017
B000565,2022-06-25,2527,Afternoon,1032
B000566,2023-11-16,3840,Night,1090
B000567,2023-08-28,2495,Night,1089
B000568,2023-02-08,2843,Afternoon,1088
B000569,2022-07-31,1225,Morning,1095
B000570,2024-08-06,4318,Afternoon,1098
B000571,2023-09-20,1915,Afternoon,1088
B000572,2024-11-13,1616,Night,1033
B000573,2022-05-01,3603,Night,1068
B000574,2022-10-21,786,Night,1060
B000575,2022-10-13,1266,Night,1015
B000576,2022-01-07,2330,Night,1057
B000577,2023-05-17,2245,Night,1082
B000578,2023-02-20,2543,Night,1007
B000579,2022-09-27,4776,Afternoon,1087
B000580,2022-04-22,854,Afternoon,1009
B000581,2024-12-05,2854,Night,1032
B000582,2024-03-25,1626,Afternoon,1055
B000583,2024-01-03,527,Night,1088
B000584,2024-08-06,3520,Morning,1015
B000585,2023-02-05,2068,Night,1028
B000586,2022-09-11,4236,Afternoon,1049
B000587,2024-01-29,843,Night,1029
B000588,2022-04-23,2518,Night,1013
B000589,2022-04-09,969,Morning,1045
B000590,2023-03-01,2028,Morning,1073
B000591,2022-11-05,1045,Afternoon,1020
B000592,2023-03-12,653,Afternoon,1091
B000593,2023-08-12,3921,Night,1093
B000594,2022-10-17,2829,Morning,1007
B000595,2023-01-09,3157,Afternoon,1036
B000596,2024-07-11,4725,Afternoon,1072
B000597,2024-02-29,4567,Afternoon,1017
B000598,2023-02-23,4307,Morning,1090
B000599,2022-10-04,2930,Morning,1022
B000600,2023-04-13,568,Afternoon,1040
B000601,2024-11-12,4624,Afternoon,1035
B000602,2023-01-03,4081,Night,1024
B000603,2022-07-15,4963,Night,1049
B000604,2024-07-16,4257,Night,1021
B000605,2023-02-03,3280,Afternoon,1064
B000606,2024-05-22,2119,Night,1092
B000607,2023-12-09,673,Night,1011
B000608,2022-05-03,4871,Morning,1039
B000609,2022-08-26,1153,Night,1070
B000610,2023-07-13,1970,Afternoon,1027
B000611,2024-01-29,2873,Night,1021
B000612,2023-07-25,2156,Morning,1058
B000613,2023-07-17,1011,Afternoon,1007
B000614,2022-05-19,1165,Morning,1088
B000615,2022-05-02,600,Morning,1076
B000616,2022-11-19,511,Morning,1084
B000617,2023-03-05,3042,Afternoon,1064
B000618,2024-03-10,3017,Morning,1074
B000619,2022-06-05,2478,Afternoon,1068
B000620,2024-02-23,3155,Night,1029
B000621,2022-10-23,3691,Morning,1004
B000622,2022-09-27,2562,Morning,1094
B000623,2022-02-11,2420,Morning,1039
B000624,2022-03-28,4669,Night,1033
B000625,2023-08-23,4648,Morning,1070
B000626,2024-09-06,1466,Morning,1039
B000627,2024-07-14,4144,Afternoon,1079
B000628,2024-04-23,2719,Morning,1004
B000629,2023-01-20,2197,Night,1065
B000630,2022-01-01,2454,Night,1086
B000631,2024-10-18,2591,Morning,1079
B000632,2023-11-06,1135,Afternoon,1056
B000633,2022-12-28,785,Night,1063
B000634,2024-03-09,4779,Night,1039
B000635,2024-01-14,3189,Afternoon,1047
B000636,2022-07-28,1533,Afternoon,1066
B000637,2023-12-19,1776,Afternoon,1025
B000638,2023-10-12,963,Night,1033
B000639,2022-04-23,815,Afternoon,1081
B000640,2024-11-26,1777,Night,1058
B000641,2024-11-12,4098,Afternoon,1095
B000642,2024-07-15,1036,Afternoon,1082
B000643,2023-08-25,1274,Night,1078
B000644,2022-02-15,2249,Afternoon,1015
B000645,2024-02-14,746,Afternoon,1055
B000646,2024-11-04,3898,Afternoon,1037
B000647,2023-01-24,4669,Morning,1099
B000648,2024-03-11,1327,Morning,1024
B000649,2023-05-29,3283,Morning,1032
B000650,2022-10-12,1794,Night,1016
B000651,2023-06-15,2099,Afternoon,1010
B000652,2022-05-01,3701,Afternoon,1021
B000653,2023-08-09,4122,Afternoon,1053
B000654,2022-01-17,2933,Afternoon,1017
B000655,2024-08-07,3783,Afternoon,1063
