Machine_ID,Log_Date,Downtime_Minutes,Efficiency_%,Maintenance_Required
43,2023-03-11,22,82.72,No
38,2022-04-25,109,95.36,No
13,2023-01-24,44,80.76,No
5,2023-04-29,113,86.65,No
30,2023-01-14,49,86.36,No
40,2024-06-29,15,84.23,No
41,2022-04-15,65,80.11,No
26,2024-07-01,119,91.52,No
45,2022-12-20,23,86.64,No
7,2024-04-16,63,81.35,No
33,2023-01-07,70,92.08,No
39,2023-07-28,99,78.73,No
30,2023-08-05,19,80.03,No
6,2022-09-18,103,95.79,No
34,2022-03-09,98,95.48,No
29,2024-03-28,101,85.54,No
3,2024-09-22,46,84.42,No
34,2023-03-13,27,76.35,No
44,2022-05-10,13,78.04,No
3,2022-04-04,99,94.49,No
15,2024-12-09,79,76.86,No
19,2024-04-06,45,88.63,Yes
25,2023-01-16,85,77.53,No
5,2024-03-08,71,86.16,No
30,2022-12-07,69,79.72,No
6,2024-08-05,40,76.66,No
1,2023-02-27,25,78.13,No
49,2024-02-09,3,94.04,No
3,2022-03-18,106,75.16,No
11,2023-10-21,38,85.48,No
34,2023-10-07,97,90.98,No
2,2022-12-29,119,98.51,No
42,2024-03-11,54,75.2,No
8,2024-09-01,34,79.88,No
19,2023-04-19,6,80.69,No
49,2023-05-11,114,96.56,No
41,2023-01-22,69,79.82,No
44,2024-09-25,63,91.33,No
25,2024-11-19,106,90.16,No
2,2022-02-06,31,92.81,No
12,2024-05-30,111,85.53,No
46,2024-09-19,64,84.61,No
10,2023-11-08,45,78.83,No
49,2023-07-21,1,78.49,No
31,2022-08-31,54,90.76,No
21,2023-12-11,47,94.66,No
42,2024-01-27,35,97.67,No
30,2024-12-07,71,79.73,No
27,2024-03-27,14,89.31,No
17,2024-10-27,31,92.33,No
18,2023-09-15,62,97.98,No
21,2023-07-23,106,75.39,Yes
19,2022-10-15,1,83.2,No
22,2022-06-13,19,79.53,No
14,2022-08-16,62,81.76,No
34,2024-03-10,10,98.6,Yes
36,2024-10-15,23,82.84,No
13,2023-08-15,99,88.6,No
4,2022-10-15,96,82.96,No
10,2022-12-25,25,95.56,No
17,2023-07-23,88,94.6,No
15,2022-07-10,41,80.41,No
11,2023-08-10,33,95.44,No
47,2024-06-02,74,83.7,No
48,2023-10-16,43,79.09,No
17,2023-07-22,1,92.31,No
17,2022-12-31,35,81.54,No
7,2023-10-17,29,96.03,No
48,2024-08-23,32,91.17,No
27,2023-10-25,42,97.96,No
28,2022-01-29,82,95.19,Yes
14,2024-01-11,15,77.63,No
7,2023-10-08,18,90.53,No
8,2024-04-03,6,92.9,No
47,2023-04-21,48,90.58,No
21,2024-04-06,16,79.14,No
6,2023-12-20,118,89.79,No
21,2024-07-16,33,78.53,Yes
29,2023-03-22,45,98.76,No
32,2023-11-05,12,93.61,No
36,2023-01-15,39,85.66,No
39,2022-06-05,68,88.8,No
48,2024-07-08,42,88.6,No
7,2024-09-26,101,88.51,No
40,2022-11-04,46,87.84,No
42,2023-11-20,97,86.53,No
37,2023-05-02,63,83.67,No
30,2024-05-23,114,77.6,No
18,2023-09-23,78,78.51,No
28,2024-03-27,21,78.82,No
24,2024-05-10,94,91.34,No
13,2024-02-03,78,86.17,No
41,2022-01-18,66,84.12,No
35,2022-10-19,52,79.94,No
38,2022-06-19,6,78.67,No
17,2024-05-02,28,81.72,No
11,2024-08-18,25,92.79,No
45,2023-01-04,41,89.48,No
18,2022-04-15,14,81.41,No
16,2024-05-12,119,91.73,No
48,2024-08-07,68,76.05,No
49,2022-07-06,70,88.45,No
37,2023-08-25,56,93.61,No
26,2022-01-30,92,79.86,No
28,2022-05-06,22,86.85,No
29,2023-06-01,117,90.11,No
38,2024-04-30,93,80.18,Yes
34,2023-03-16,39,88.86,No
24,2022-01-28,114,93.42,No
28,2024-07-07,9,81.85,No
20,2024-06-26,17,87.23,No
24,2022-03-22,91,86.5,No
34,2024-07-10,98,76.65,Yes
2,2022-11-02,89,97.76,Yes
41,2023-12-15,24,83.93,Yes
23,2022-12-12,4,92.01,No
18,2024-05-31,20,82.02,Yes
40,2023-11-16,4,93.84,No
3,2023-07-26,67,90.28,No
11,2024-03-30,91,87.08,No
20,2023-06-30,51,85.05,Yes
24,2023-04-27,6,79.2,No
43,2022-11-16,81,82.3,No
45,2024-05-27,41,96.8,No
46,2023-07-16,113,80.21,No
11,2022-12-31,73,94.94,No
37,2023-11-07,60,82.22,No
25,2023-04-01,37,90.76,No
18,2024-01-13,34,96.16,No
26,2023-11-12,10,98.06,No
7,2024-06-03,98,79.31,Yes
3,2023-03-07,31,79.87,No
10,2024-05-13,81,93.91,Yes
30,2022-06-27,85,79.03,No
19,2022-04-04,23,86.84,No
28,2024-11-17,48,98.68,No
15,2023-10-19,25,96.9,No
27,2023-06-25,41,95.51,No
31,2024-08-12,45,96.82,No
42,2022-12-21,12,82.46,Yes
27,2023-03-04,60,80.29,No
14,2022-09-02,0,88.11,No
6,2023-04-11,93,83.22,No
42,2024-10-07,25,78.44,No
13,2024-01-18,20,80.33,No
11,2022-09-25,93,93.42,No
24,2022-01-23,41,97.98,No
25,2023-07-31,18,91.87,No
37,2024-07-18,53,93.38,Yes
21,2024-03-14,101,93.2,No
32,2022-07-23,100,97.24,No
23,2024-10-17,98,76.44,No
36,2024-04-06,25,85.48,No
36,2023-01-19,3,88.37,No
18,2022-09-27,51,77.73,No
14,2022-11-20,54,98.09,Yes
16,2022-11-13,19,85.17,No
30,2023-03-04,6,86.6,No
47,2022-03-01,14,98.84,Yes
45,2023-11-27,4,87.98,No
12,2024-08-25,97,84.38,No
45,2023-10-29,79,98.44,No
10,2022-05-17,31,76.19,No
11,2024-09-13,59,84.97,No
13,2022-04-13,44,86.24,No
21,2024-06-07,97,83.24,No
48,2023-11-22,20,86.39,No
21,2022-06-23,3,89.8,No
46,2024-11-16,69,93.3,No
34,2022-09-21,85,84.87,No
12,2023-01-23,14,89.07,No
43,2023-10-29,10,75.35,No
34,2022-08-07,52,88.32,No
4,2022-12-11,110,84.5,No
23,2022-02-23,37,90.2,No
35,2023-08-11,93,93.89,No
25,2023-05-22,15,94.03,No
48,2022-04-23,36,90.98,No
24,2023-05-13,81,80.57,No
33,2023-01-10,54,88.39,Yes
16,2024-07-28,105,75.69,Yes
38,2023-04-05,79,96.62,No
14,2024-10-25,58,75.86,No
45,2024-08-13,65,97.33,No
21,2023-11-09,16,78.9,No
19,2022-12-18,115,78.18,No
36,2022-10-14,114,96.07,No
8,2024-11-05,115,87.93,No
42,2024-12-26,112,82.98,No
16,2022-11-19,15,97.33,No
24,2023-06-18,99,90.74,No
40,2024-04-01,30,95.26,No
47,2022-11-30,79,83.07,Yes
17,2023-01-01,39,86.65,No
46,2024-02-23,6,92.2,No
2,2022-01-04,93,93.21,No
41,2024-06-10,109,84.73,No
10,2023-11-06,96,82.61,No
47,2023-05-20,54,82.61,No
9,2023-10-23,95,76.38,Yes
34,2023-09-09,5,95.16,Yes
12,2023-06-15,91,78.31,No
21,2023-04-09,31,81.79,No
1,2024-07-23,105,84.84,No
4,2023-12-30,36,77.07,No
39,2024-12-07,59,86.14,No
49,2023-03-30,71,86.23,No
11,2024-03-02,43,83.02,No
30,2023-05-21,85,75.57,No
37,2024-08-04,22,98.54,No
29,2023-08-30,61,80.87,No
16,2023-09-19,111,97.68,Yes
10,2023-11-06,19,78.29,Yes
37,2023-12-01,102,96.14,No
47,2022-10-22,15,86.49,No
33,2022-08-17,89,98.41,No
11,2023-03-21,111,86.84,No
9,2023-09-05,45,79.34,No
31,2022-03-23,76,80.85,No
15,2023-02-03,86,76.84,Yes
30,2024-10-12,119,95.58,No
40,2024-09-16,91,82.43,No
26,2022-05-11,52,95.9,No
16,2024-07-23,37,97.7,No
48,2024-11-29,56,87.38,No
4,2023-09-20,72,81.78,No
33,2023-10-06,83,77.83,No
2,2023-02-16,4,97.55,No
48,2024-12-05,54,92.09,No
29,2024-12-31,38,92.49,No
23,2022-12-16,47,79.4,No
7,2024-01-24,100,85.9,No
26,2022-02-27,67,79.82,Yes
23,2024-07-13,85,86.74,No
17,2024-12-26,38,92.73,No
16,2022-01-04,111,96.64,No
14,2022-11-05,52,83.65,No
38,2023-03-19,76,79.76,Yes
29,2024-12-19,36,80.59,No
19,2022-02-22,70,96.4,No
13,2022-04-24,44,86.42,No
2,2022-02-24,29,90.04,No
13,2024-01-26,45,96.44,No
37,2023-12-09,35,92.0,No
14,2024-04-07,103,80.9,No
17,2022-01-10,32,88.89,No
12,2023-11-19,79,85.9,No
22,2023-07-04,57,88.6,No
31,2024-11-27,34,80.08,No
4,2024-08-05,5,93.13,No
20,2022-12-14,45,81.06,No
20,2024-01-04,97,94.91,No
38,2024-04-02,31,85.77,No
24,2022-06-09,18,81.75,No
16,2024-11-20,68,96.62,No
12,2024-10-01,111,90.3,No
4,2024-10-24,92,82.76,No
26,2023-12-12,80,80.54,No
12,2024-06-30,22,86.09,No
23,2022-03-08,71,89.24,No
3,2023-12-20,19,92.79,No
14,2022-08-12,103,87.78,No
39,2022-04-10,64,75.67,No
15,2023-10-10,0,87.86,No
36,2022-12-13,42,83.19,No
29,2024-11-13,32,87.03,No
22,2022-01-29,116,92.26,No
22,2022-12-12,67,85.9,No
45,2024-06-30,75,77.48,Yes
26,2024-08-24,95,78.17,No
12,2023-11-27,35,78.35,No
6,2023-12-27,103,83.55,No
14,2023-07-14,54,96.49,No
2,2023-01-16,113,97.3,No
29,2022-01-04,109,80.72,No
40,2023-08-25,8,89.51,No
10,2022-10-14,68,80.53,No
4,2023-08-21,72,97.64,No
45,2022-01-25,56,94.52,No
27,2024-11-21,23,94.29,No
7,2024-03-15,4,75.3,No
35,2023-12-13,56,89.99,No
9,2022-10-10,2,76.32,No
22,2022-01-19,55,98.99,No
47,2022-05-09,114,77.26,No
32,2023-05-29,92,87.22,No
41,2023-09-29,20,93.04,No
35,2023-09-09,18,76.62,No
14,2022-01-19,56,78.38,No
4,2022-07-25,102,94.25,No
17,2023-04-15,26,92.41,No
17,2022-05-07,107,87.23,No
22,2022-06-08,76,97.65,No
42,2024-11-25,107,89.1,No
44,2024-07-08,45,83.12,No
37,2023-08-08,111,90.39,No
48,2023-06-24,28,77.17,Yes
38,2023-02-25,6,79.13,No
15,2024-07-19,85,77.73,No
10,2024-05-30,10,76.44,No
20,2023-10-06,47,80.52,No
32,2024-06-21,4,94.88,No
7,2023-10-26,34,92.73,No
27,2023-06-17,38,80.26,No
44,2024-04-09,42,91.42,No
16,2023-03-21,99,96.77,No
39,2023-07-03,81,78.1,No
7,2022-02-21,74,78.59,No
24,2024-03-14,74,77.56,No
48,2023-07-13,68,94.67,No
33,2022-03-06,16,94.77,No
21,2022-09-10,96,94.67,No
31,2023-09-30,76,75.84,No
34,2022-12-14,115,77.59,No
6,2024-10-07,102,86.93,No
15,2023-12-10,67,85.1,No
15,2024-07-24,102,82.56,Yes
21,2023-08-11,62,83.88,Yes
15,2023-09-21,35,89.44,No
25,2024-07-16,107,98.94,No
48,2024-01-23,58,77.01,No
19,2023-11-25,66,90.13,Yes
49,2024-02-24,33,80.09,No
36,2023-07-24,2,83.19,No
10,2024-08-26,117,79.72,Yes
4,2024-11-24,44,93.93,No
21,2024-05-04,15,97.04,No
18,2022-04-24,4,97.84,Yes
17,2024-02-17,12,80.58,No
9,2022-01-19,98,89.37,No
26,2024-01-10,60,93.51,No
25,2024-03-01,13,81.48,No
16,2024-08-23,110,88.73,No
45,2022-10-29,77,77.64,No
8,2024-09-08,83,98.8,No
6,2024-02-05,94,94.77,No
31,2022-04-24,12,88.3,No
1,2022-09-16,30,92.73,No
8,2023-10-18,42,80.53,Yes
34,2024-01-31,35,88.81,Yes
14,2023-06-17,107,85.41,No
15,2022-12-06,54,88.98,No
8,2024-03-17,29,97.15,No
11,2024-04-16,5,82.31,No
38,2024-03-09,22,91.12,Yes
6,2023-12-25,72,80.16,No
16,2023-06-24,115,80.23,Yes
8,2024-02-16,75,84.85,No
3,2024-05-03,65,86.75,No
31,2023-11-23,82,87.68,No
39,2022-02-18,24,89.86,No
1,2023-11-04,47,85.09,No
11,2023-01-02,14,96.8,No
40,2024-03-08,87,98.36,No
26,2024-09-21,111,80.69,No
27,2023-12-08,39,96.08,No
34,2023-11-01,60,90.18,No
13,2024-10-23,33,84.92,No
41,2022-04-10,112,91.69,No
15,2022-08-24,96,97.81,No
4,2023-09-22,73,84.98,Yes
7,2022-10-16,100,83.94,No
10,2022-01-05,86,98.57,No
12,2024-11-18,22,77.18,Yes
45,2024-02-20,13,83.31,No
44,2022-09-16,55,92.88,No
21,2022-08-05,78,90.0,No
9,2024-01-08,95,97.24,No
26,2023-04-12,117,92.8,No
28,2022-10-05,112,90.44,No
36,2024-11-15,28,87.64,No
19,2022-11-08,73,86.8,No
38,2024-05-05,17,84.4,Yes
42,2024-03-01,61,83.36,No
10,2023-08-21,115,93.8,No
43,2022-04-16,97,91.65,Yes
1,2022-07-04,63,90.03,No
31,2022-09-07,69,82.78,No
22,2022-03-26,6,87.14,No
40,2022-01-26,41,95.85,No
1,2023-01-12,58,92.79,No
3,2023-03-15,90,91.39,No
3,2022-06-16,34,91.68,No
40,2022-05-03,57,93.09,No
10,2022-08-20,104,91.07,No
11,2024-06-08,76,76.73,No
12,2024-09-18,85,78.5,No
25,2022-01-20,77,75.33,No
46,2024-05-29,52,88.96,No
44,2023-04-06,36,98.31,No
13,2022-10-13,22,96.07,No
21,2024-07-24,108,97.22,Yes
18,2023-08-19,72,78.02,Yes
22,2023-07-13,113,96.42,No
42,2022-06-26,91,93.17,No
38,2024-04-17,41,79.46,No
6,2022-11-28,14,87.73,No
43,2023-03-07,25,97.66,No
21,2024-02-02,25,92.26,No
15,2022-07-07,32,84.11,Yes
44,2023-09-28,82,95.32,No
25,2023-03-04,11,98.13,No
9,2024-01-10,94,88.68,No
8,2024-08-26,38,76.5,No
2,2023-06-04,64,98.3,No
13,2024-03-05,27,82.84,No
30,2022-05-19,15,92.33,No
36,2022-11-27,0,80.08,No
13,2023-05-20,114,78.5,Yes
9,2022-05-19,4,85.36,No
45,2023-05-06,103,78.96,No
27,2023-12-06,62,77.37,No
38,2023-08-07,66,94.27,No
3,2023-10-06,91,82.7,No
4,2024-11-27,57,81.18,No
4,2022-06-11,78,96.76,Yes
1,2023-09-15,20,75.33,No
25,2024-04-13,9,77.65,No
32,2024-05-31,78,77.05,No
38,2022-12-29,115,87.26,No
27,2022-09-25,119,96.9,Yes
17,2023-09-14,72,88.33,Yes
19,2024-05-27,36,80.81,No
31,2024-11-13,60,78.21,No
39,2022-07-01,37,93.19,No
40,2023-03-13,1,78.08,No
13,2022-12-22,61,86.6,No
29,2024-06-27,7,83.04,No
39,2024-07-22,65,88.98,No
27,2023-06-03,58,86.99,No
17,2024-03-04,0,87.0,No
14,2022-07-21,29,82.84,No
23,2024-03-18,9,86.33,No
17,2024-07-11,35,80.76,No
6,2024-06-13,101,87.07,No
10,2023-04-14,105,78.85,No
24,2024-04-11,101,82.54,No
22,2023-06-23,43,85.08,No
14,2024-08-10,24,98.19,No
30,2023-04-09,12,97.87,No
18,2023-10-22,73,86.13,No
6,2023-08-17,62,90.33,No
11,2023-10-10,65,96.95,No
21,2024-02-09,90,76.12,No
41,2024-05-03,98,80.58,No
2,2024-06-10,102,78.21,No
22,2023-12-07,70,97.24,No
5,2023-12-04,7,96.14,No
16,2023-08-19,48,95.03,No
45,2023-10-06,72,80.19,No
18,2024-12-24,101,92.63,No
7,2023-05-11,39,79.3,No
9,2024-01-28,37,87.02,No
25,2022-12-25,67,91.97,No
15,2024-03-31,60,86.54,No
5,2023-07-12,8,85.81,No
46,2023-10-09,84,85.56,No
34,2022-06-01,98,83.36,No
3,2023-12-06,51,92.48,No
31,2024-05-25,48,89.51,No
11,2023-03-08,50,80.5,No
25,2022-10-04,118,75.46,No
49,2022-07-14,101,90.79,No
32,2023-03-15,3,86.35,No
41,2023-12-06,10,96.15,No
44,2022-05-08,40,83.32,Yes
38,2023-10-28,84,83.67,Yes
39,2023-02-19,38,90.37,Yes
4,2023-10-13,75,81.7,No
39,2022-02-17,84,92.03,No
2,2023-04-07,33,98.47,No
26,2024-09-23,81,88.7,No
4,2024-06-08,36,85.03,No
16,2024-12-23,70,88.99,No
20,2023-09-07,89,96.35,No
35,2023-10-09,33,86.37,Yes
14,2024-10-02,4,93.02,No
33,2022-08-31,69,89.4,No
46,2023-02-14,24,79.3,No
29,2024-09-25,31,98.44,No
17,2022-08-30,62,78.32,Yes
41,2024-10-14,62,77.65,No
30,2024-01-06,19,82.41,No
35,2022-09-30,110,75.87,No
22,2024-05-21,70,95.14,No
17,2022-04-09,114,78.57,No
5,2022-03-18,41,86.88,No
44,2023-12-15,57,86.37,No
14,2023-10-22,21,98.46,No
3,2024-08-12,113,92.5,No
19,2024-06-30,53,96.72,No
39,2023-05-22,48,80.42,No
6,2023-12-01,4,76.67,Yes
26,2022-09-11,22,83.91,No
26,2024-05-14,14,83.67,No
9,2023-03-27,11,98.75,No
21,2024-05-25,110,94.97,No
39,2023-06-25,12,97.96,No
43,2022-05-11,63,83.14,No
4,2024-12-20,48,96.73,No
38,2024-09-26,98,84.84,No
3,2022-01-19,64,77.95,No
6,2022-01-05,2,82.51,No
31,2022-06-24,101,88.08,No
47,2022-03-28,53,83.11,No
5,2022-04-25,22,85.82,No
10,2024-10-25,95,95.68,No
35,2024-02-12,36,77.27,No
31,2022-07-16,116,85.8,No
36,2023-07-06,52,94.04,No
48,2024-03-14,91,98.37,No
26,2024-12-04,56,89.89,No
43,2022-05-26,39,86.68,No
13,2024-11-08,112,95.55,No
28,2024-06-15,51,84.26,No
21,2023-05-23,54,80.12,No
48,2024-04-14,68,91.58,No
19,2023-05-18,63,76.8,No
4,2022-08-30,94,85.75,No
7,2022-07-18,102,84.01,No
2,2022-02-16,56,85.18,No
32,2023-02-05,84,92.82,No
43,2022-02-25,83,86.08,No
37,2023-07-14,34,84.86,No
23,2023-04-28,76,97.41,No
40,2024-10-06,56,94.31,No
26,2024-06-25,107,94.4,No
39,2022-12-31,118,85.87,No
47,2024-02-22,116,84.74,No
5,2024-09-01,98,87.59,No
42,2022-12-11,76,84.96,No
4,2022-10-19,99,89.94,No
41,2022-09-18,118,90.95,No
38,2023-10-27,96,98.41,No
18,2023-01-12,117,79.11,No
37,2022-01-19,108,89.15,No
25,2023-02-02,35,79.52,No
7,2023-05-15,9,96.95,Yes
18,2022-03-10,93,90.5,No
31,2022-04-23,29,86.54,No
27,2022-01-07,104,76.19,No
20,2024-07-11,58,97.21,No
14,2022-09-12,107,83.89,No
26,2023-12-13,99,94.08,No
32,2023-11-08,28,82.11,No
35,2023-07-18,108,88.15,No
32,2024-07-09,48,93.0,No
26,2022-06-27,51,95.95,No
34,2023-03-27,75,84.35,No
5,2023-01-25,67,88.78,No
37,2022-08-18,35,76.19,No
48,2024-06-26,99,98.53,No
45,2024-03-04,47,80.98,No
29,2022-01-17,84,88.85,No
43,2024-08-22,32,93.06,No
5,2023-09-25,102,81.72,No
17,2023-02-21,4,87.08,No
11,2022-06-15,42,92.45,No
32,2023-07-30,21,93.17,No
42,2022-08-09,48,93.76,No
6,2022-01-27,77,93.09,No
12,2023-09-21,104,82.67,No
40,2024-03-12,63,91.34,No
3,2022-03-14,8,98.26,No
7,2024-01-25,5,85.11,No
14,2024-03-11,27,84.5,No
41,2024-12-22,113,81.95,No
7,2024-09-06,37,97.32,No
26,2023-05-29,63,80.17,No
19,2023-06-20,39,98.0,No
49,2023-03-31,107,95.55,No
46,2022-03-15,77,75.08,No
1,2024-08-28,41,81.59,No
5,2024-07-26,6,85.38,No
44,2022-05-07,104,93.56,No
39,2022-02-21,70,78.25,No
48,2024-12-17,14,75.46,No
1,2024-05-07,87,77.92,No
17,2022-10-15,28,79.99,No
44,2023-04-25,16,93.38,No
34,2022-08-05,72,94.29,No
26,2024-12-27,21,91.94,No
1,2024-02-22,98,89.4,No
24,2022-02-25,13,87.83,No
25,2022-05-09,116,97.27,No
37,2022-08-18,27,96.77,No
2,2024-06-21,10,79.08,No
1,2024-04-12,80,95.36,No
41,2023-06-03,104,91.31,Yes
34,2022-02-21,58,89.33,No
20,2023-03-27,117,93.66,No
32,2023-12-19,60,89.35,No
8,2023-05-30,3,79.94,No
41,2022-09-16,67,81.88,No
49,2024-10-18,7,82.38,No
1,2023-11-27,48,86.82,No
40,2024-08-11,68,90.75,No
19,2022-11-06,110,85.59,No
40,2024-08-09,8,95.1,No
13,2024-03-23,44,86.99,No
29,2022-10-27,78,86.23,No
41,2024-09-04,105,86.05,No
28,2023-08-08,98,76.99,No
9,2024-08-27,110,86.55,No
13,2024-03-05,33,92.21,No
7,2022-12-31,45,91.87,Yes
42,2023-04-02,20,76.42,No
10,2022-12-01,114,92.85,No
4,2022-08-02,7,91.57,No
10,2024-11-11,115,75.19,No
49,2022-03-09,75,93.49,Yes
20,2024-03-26,118,75.3,No
23,2023-05-31,101,75.28,No
28,2024-12-12,119,75.56,No
38,2023-02-16,34,85.54,No
43,2023-03-01,30,95.58,No
22,2024-04-16,37,80.85,No
34,2023-11-04,63,88.05,No
5,2023-01-27,46,79.81,No
9,2022-03-10,8,88.27,No
11,2022-10-15,67,96.5,No
5,2024-02-10,43,88.3,No
6,2024-12-07,48,93.47,No
9,2023-09-01,105,83.3,No
18,2023-11-25,25,86.48,No
44,2022-06-11,85,79.46,No
17,2023-09-11,115,79.96,No
11,2024-07-18,17,97.24,No
46,2024-03-06,77,96.51,No
28,2023-05-08,18,87.69,No
21,2024-09-15,85,87.43,No
18,2024-07-04,0,88.89,No
12,2022-01-05,52,86.77,No
49,2022-09-18,118,75.15,No
14,2024-05-22,113,95.19,No
48,2023-01-26,89,78.22,No
47,2022-10-23,44,79.64,No
21,2024-09-11,62,84.92,No
38,2024-08-27,52,91.82,No
24,2024-01-18,90,88.46,No
30,2024-01-04,80,84.26,No
29,2022-03-28,0,89.44,Yes
3,2022-08-10,21,84.42,No
24,2023-05-02,45,90.98,No
11,2023-02-18,85,84.86,No
41,2024-12-13,58,79.51,No
4,2024-08-12,1,82.62,No
37,2023-11-21,67,90.87,No
34,2023-07-13,11,76.99,No
43,2023-04-15,5,80.38,No
36,2024-07-13,95,86.45,No
35,2022-11-27,70,87.52,No
16,2022-09-07,59,87.82,No
31,2023-09-26,32,75.49,No
49,2023-07-13,59,89.44,No
30,2022-12-07,89,84.28,No
34,2023-12-24,61,82.28,No
44,2023-07-21,10,78.81,No
46,2022-09-22,118,79.42,No
43,2022-06-08,95,76.44,No
14,2022-02-11,119,93.9,No
23,2024-02-20,83,85.12,No
29,2024-06-10,34,92.68,No
4,2022-07-09,2,96.62,No
12,2022-06-24,91,81.91,No
8,2022-05-01,30,89.04,No
27,2023-09-26,69,82.85,No
40,2023-07-11,49,92.1,No
9,2023-08-29,33,98.35,No
40,2022-12-09,37,76.64,Yes
21,2022-05-26,19,90.8,No
39,2023-05-09,110,90.51,No
5,2024-09-30,98,98.28,No
48,2022-11-25,97,87.1,No
22,2023-08-13,111,97.44,No
